Year,Region,Flow,Cumulative statistical value (euro) from the beginning of the year
201512,3 Satakunta,Imports by countries of origin,1207000000
201512,3 Satakunta,Exports by countries of destination,3348000000
201512,4 Kanta-Häme,Imports by countries of origin,722000000
201512,4 Kanta-Häme,Exports by countries of destination,1289000000
201512,5 Pirkanmaa,Imports by countries of origin,3159000000
201512,5 Pirkanmaa,Exports by countries of destination,4161000000
201512,6 Päijät-Häme,Imports by countries of origin,1105000000
201512,6 Päijät-Häme,Exports by countries of destination,1697000000
201512,7 Kymenlaakso,Imports by countries of origin,898000000
201512,7 Kymenlaakso,Exports by countries of destination,4766000000
201512,8 Etelä-Karjala,Imports by countries of origin,377000000
201512,8 Etelä-Karjala,Exports by countries of destination,1277000000
201512,9 Etelä-Savo,Imports by countries of origin,246000000
201512,9 Etelä-Savo,Exports by countries of destination,387000000
201512,10 Pohjois-Savo,Imports by countries of origin,511000000
201512,10 Pohjois-Savo,Exports by countries of destination,1135000000
201512,11 Pohjois-Karjala,Imports by countries of origin,274000000
201512,11 Pohjois-Karjala,Exports by countries of destination,766000000
201512,12 Keski-Suomi,Imports by countries of origin,754000000
201512,12 Keski-Suomi,Exports by countries of destination,2135000000
201512,13 Etelä-Pohjanmaa,Imports by countries of origin,535000000
201512,13 Etelä-Pohjanmaa,Exports by countries of destination,553000000
201512,14 Pohjanmaa,Imports by countries of origin,1310000000
201512,14 Pohjanmaa,Exports by countries of destination,3129000000
201512,15 Keski-Pohjanmaa,Imports by countries of origin,1517000000
201512,15 Keski-Pohjanmaa,Exports by countries of destination,1729000000
201512,16 Pohjois-Pohjanmaa,Imports by countries of origin,1443000000
201512,16 Pohjois-Pohjanmaa,Exports by countries of destination,1396000000
201512,17 Kainuu,Imports by countries of origin,51000000
201512,17 Kainuu,Exports by countries of destination,145000000
201512,18 Lappi,Imports by countries of origin,1695000000
201512,18 Lappi,Exports by countries of destination,3875000000
201512,19 Ahvenanmaa,Imports by countries of origin,559000000
201512,19 Ahvenanmaa,Exports by countries of destination,103000000
201512,20 Unknown,Imports by countries of origin,1226000000
201512,20 Unknown,Exports by countries of destination,429000000
201512,21 Total,Imports by countries of origin,54493000000
201512,21 Total,Exports by countries of destination,53880000000
