region,municipality,year,"R&D expenditure (Mill. EUR) for ENTERPRISE SECTOR, TOTAL","R&D expenditure (Mill. EUR) for GOVERNMENT SECTOR + PRIVATE NON-PROFIT SECTOR, TOTAL","R&D expenditure (Mill. EUR) for HIGHER EDUCATION SECTOR, TOTAL",R&D expenditure (Mill. EUR) for Total,"R&D personnel (HC) for ENTERPRISE SECTOR, TOTAL","R&D personnel (HC) for GOVERNMENT SECTOR + PRIVATE NON-PROFIT SECTOR, TOTAL","R&D personnel (HC) for HIGHER EDUCATION SECTOR, TOTAL",R&D personnel (HC) for Total,"R&D in full-time equivalents (FTE) for ENTERPRISE SECTOR, TOTAL","R&D in full-time equivalents (FTE) for GOVERNMENT SECTOR + PRIVATE NON-PROFIT SECTOR, TOTAL","R&D in full-time equivalents (FTE) for HIGHER EDUCATION SECTOR, TOTAL",R&D in full-time equivalents (FTE) for Total
05,Total,2023,32,27.2,15.2,74.3,383,281,311,975,201.1,196.3,189.1,586.6
06,Total,2023,773.7,36.2,228.3,1038.2,6557,329,4080,10966,5074.6,264.5,2076.6,7415.7
07,Total,2023,61.7,3,32.2,96.9,739,86,456,1281,533.1,61.2,262.4,856.7
08,Total,2023,28.8,...,...,40.8,313,...,...,503,176.5,...,...,307.2
09,Total,2023,97.6,0.4,67.4,165.4,594,4,946,1543,477.6,3,526.7,1007.4
10,Total,2023,11.8,4.2,27.8,43.8,222,40,339,601,119.2,27.7,234.7,381.5
11,Total,2023,93.1,23.3,95.5,211.9,933,308,1765,3006,662.2,179.5,899,1740.7
12,Total,2023,40.2,10.2,75.1,125.6,455,144,1349,1948,342.5,67.2,678.6,1088.3
13,Total,2023,168.1,17.6,134.4,320.1,1494,185,2823,4502,1081.1,131.6,1469.5,2682.2
14,Total,2023,40.2,1.6,13.8,55.6,441,25,259,725,307.2,16.1,145.3,468.6
15,Total,2023,284.5,0.4,44.9,329.8,1616,8,878,2502,1396.5,3.5,464.5,1864.5
16,Total,2023,25.2,2,10.8,37.9,168,33,210,412,115.8,14,128.5,258.3
17,Total,2023,710.1,46.7,194.8,951.6,5607,439,3902,9948,4527.5,345.5,2088.8,6961.7
18,Total,2023,15.9,2.6,10.6,29,158,37,229,424,92.2,18.8,126.5,237.5
19,Total,2023,19.9,9.4,40.1,69.4,203,139,776,1117,156.3,77,391.9,625.2
